Model,R2 Score,MSE
Ridge,0.995227813703276,15112917478.437963
Lasso,0.9944408323805647,17605188954.799267
Simple Linear,0.928873575053507,57069614.26352795
Polynomial,0.7666492889299912,11813379747.919199
